1,0,1991-02-21,1,1,1991-02-21,1,
0,1,1991-02-22,1,2,1991-02-23,2,
0,1,1991-02-23,0,0,0000-00-00,2,
0,2,1991-02-24,1,1,1991-02-24,1,
0,1,1991-02-25,1,1,1991-02-25,1,
3,0,1991-02-26,1,1,1991-02-26,1,
3,1,1991-02-27,1,1,1991-02-27,1,
2,2,1991-02-28,1,1,1991-02-28,1,
1,1,1991-03-01,1,1,1991-03-01,1,
2,0,1991-03-02,1,1,1991-03-02,1,
1,1,1991-03-03,1,1,1991-03-03,1,
1,0,1991-03-04,1,1,1991-03-04,1,
0,0,1991-03-05,1,1,1991-03-05,1,
0,1,1991-03-06,1,2,1991-03-07,2,
0,1,1991-03-07,0,0,0000-00-00,2,
0,0,1991-03-08,1,2,1991-03-09,2,
0,0,1991-03-09,0,0,0000-00-00,2,
0,1,1991-03-10,1,1,1991-03-10,1,
0,2,1991-03-11,1,1,1991-03-11,1,
0,1,1991-03-12,1,1,1991-03-12,1,
0,2,1991-03-13,1,2,1991-03-14,2,
0,2,1991-03-14,0,0,0000-00-00,2,
0,0,1991-03-15,1,5,1991-03-19,5,
0,0,1991-03-16,0,0,0000-00-00,5,
0,0,1991-03-17,0,0,0000-00-00,5,
0,0,1991-03-18,0,0,0000-00-00,5,
0,0,1991-03-19,0,0,0000-00-00,5,
1,0,1991-03-20,1,1,1991-03-20,1,
2,2,1991-03-21,1,2,1991-03-22,2,
2,2,1991-03-22,0,0,0000-00-00,2,
3,2,1991-03-23,1,3,1991-03-25,3,
3,2,1991-03-24,0,0,0000-00-00,3,
3,2,1991-03-25,0,0,0000-00-00,3,
3,1,1991-03-26,1,1,1991-03-26,1,
3,2,1991-03-27,1,1,1991-03-27,1,
1,2,1991-03-28,1,2,1991-03-29,2,
1,2,1991-03-29,0,0,0000-00-00,2,
2,2,1991-03-30,1,1,1991-03-30,1,
2,1,1991-03-31,1,1,1991-03-31,1,
2,0,1991-11-01,1,1,1991-11-01,1,
1,0,1991-11-02,1,1,1991-11-02,1,
0,0,1991-11-03,1,1,1991-11-03,1,
2,2,1991-11-04,1,1,1991-11-04,1,
3,1,1991-11-05,1,1,1991-11-05,1,
3,0,1991-11-06,1,1,1991-11-06,1,
2,0,1991-11-07,1,1,1991-11-07,1,
2,1,1991-11-08,1,2,1991-11-09,2,
2,1,1991-11-09,0,0,0000-00-00,2,
2,0,1991-11-10,1,2,1991-11-11,2,
2,0,1991-11-11,0,0,0000-00-00,2,
0,0,1991-11-12,1,2,1991-11-13,2,
0,0,1991-11-13,0,0,0000-00-00,2,
0,2,1991-11-14,1,4,1991-11-17,4,
0,2,1991-11-15,0,0,0000-00-00,4,
0,2,1991-11-16,0,0,0000-00-00,4,
0,2,1991-11-17,0,0,0000-00-00,4,
2,2,1991-11-18,1,2,1991-11-19,2,
2,2,1991-11-19,0,0,0000-00-00,2,
1,1,1991-11-20,1,2,1991-11-21,2,
1,1,1991-11-21,0,0,0000-00-00,2,
1,0,1991-11-22,1,1,1991-11-22,1,
0,0,1991-11-23,1,1,1991-11-23,1,
2,0,1991-11-24,1,1,1991-11-24,1,
1,0,1991-11-25,1,1,1991-11-25,1,
0,1,1991-11-26,1,1,1991-11-26,1,
0,0,1991-11-27,1,1,1991-11-27,1,
3,0,1991-11-28,1,2,1991-11-29,2,
3,0,1991-11-29,0,0,0000-00-00,2,
2,1,1991-11-30,1,1,1991-11-30,1,
0,1,1991-12-01,1,1,1991-12-01,1,
1,1,1991-12-02,1,1,1991-12-02,1,
2,2,1991-12-03,1,3,1991-12-05,3,
2,2,1991-12-04,0,0,0000-00-00,3,
2,2,1991-12-05,0,0,0000-00-00,3,
3,2,1991-12-06,1,3,1991-12-08,3,
3,2,1991-12-07,0,0,0000-00-00,3,
3,2,1991-12-08,0,0,0000-00-00,3,
3,1,1991-12-09,1,1,1991-12-09,1,
3,2,1991-12-10,1,1,1991-12-10,1,
3,1,1991-12-11,1,3,1991-12-13,3,
3,1,1991-12-12,0,0,0000-00-00,3,
3,1,1991-12-13,0,0,0000-00-00,3,
1,1,1991-12-14,1,1,1991-12-14,1,
